Full Name,Fighter_Id,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Julia Avila,86d9dbe1bfcbade7,Raging Panda,5.7,135.0,68.0,Orthodox,9,4,0,False
Saad Awad,da603332ad41f165,Assassin,5.11,155.0,,Orthodox,20,9,0,False
Javy Ayala,26387c19f32dda0f,Eye Candy,6.1,265.0,,Orthodox,10,5,0,False
Jessin Ayari,6eaec40f724852f4,No Nickname,6.0,155.0,73.0,Orthodox,16,6,0,False
Abu Azaitar,46d0a888d87d91ac,Captain Morocco,5.9,185.0,76.0,Orthodox,14,4,1,False
Ottman Azaitar,ee18ff42063174df,Bulldozer,5.8,155.0,71.0,Switch,13,3,0,False
Luiz Azeredo,063649e21bc9d6d5,No Nickname,5.9,154.0,,Orthodox,15,10,0,False
Luciano Azevedo,9bcfb40dbcd50568,No Nickname,6.3,161.0,,Orthodox,17,9,1,False
Hunter Azure,2af2f2e26c4c0402,No Nickname,5.8,145.0,69.0,Orthodox,9,2,0,False
Niklas Backstrom,39cc64bf0a269db9,No Nickname,6.1,145.0,,Orthodox,11,3,0,False
Seth Baczynski,fd5b6598a3b70c0a,The Polish Pistola,6.3,170.0,75.0,Orthodox,20,14,0,False
Abdul Azeem Badakhshi,968764372c49eab6,The Afghan Lion,,145.0,,Orthodox,13,3,0,False
Ryan Bader,c0ab242c40decc55,Darth,6.2,205.0,74.0,Orthodox,23,5,0,False
Izabela Badurek,4fcf6e0c4e0e6664,No Nickname,5.5,115.0,,Orthodox,6,3,0,False
Miguel Baeza,82d4c957649faf9b,Caramel Thunder,6.2,170.0,74.0,Orthodox,10,4,0,False
Ali Bagautinov,3dd92ff9fb0412b3,Puncher,5.4,125.0,65.0,Orthodox,15,6,0,False
Mehdi Baghdad,e4d2564ea0e34e2b,The Sultan,6.1,155.0,,Orthodox,11,5,0,False
Melsik Baghdasaryan,a52bc1e62cf0b7c6,The Gun,5.9,145.0,70.0,Southpaw,8,3,0,False
Siyar Bahadurzada,aec185309b4843d0,The Great,5.11,170.0,73.0,Orthodox,24,8,1,False
Ignacio Bahamondes,e4a47b07044ddd72,La Jaula,6.3,155.0,75.0,Orthodox,17,6,0,False
Bahatebole Batebolati,8f313e9c3a39c06e,Lion King,5.8,170.0,71.0,Southpaw,10,1,1,False
Shamar Bailey,e2b8186b618b00c4,No Nickname,5.9,155.0,75.0,Southpaw,16,11,0,False
Jordan Bailey,34dbcd4dbaf21a36,No Nickname,5.9,145.0,,Orthodox,6,3,0,False
Scott Baker,7d5b12de1625984e,No Nickname,6.0,210.0,,Orthodox,1,1,0,False
Bryan Baker,898337ef520fe4d3,The Beast,6.3,185.0,,Orthodox,18,5,0,False
Jin Bala,371efa53bd0cf669,No Nickname,5.9,155.0,,Orthodox,23,3,0,False
 Balajin,e626e92a8f2a9737,The Snow Leopard,5.9,145.0,72.0,Orthodox,23,4,0,False
Oluwale Bamgbose,04b39f4e8eb59d7c,Holy War Angel,5.11,185.0,78.0,Switch,6,4,0,False
Stephen Banaszak,4c4b44e3cf5815b3,No Nickname,6.0,145.0,,Orthodox,5,5,0,False
Marcin Bandel,5c2ce761399dc9c5,Bomba,5.1,155.0,,Orthodox,15,7,0,False
Humberto Bandenay,2c2caf2f2bab9df5,No Nickname,5.11,145.0,71.0,Southpaw,14,7,0,False
Tae Hyun Bang,9a2d3567abc02e34,Supernatural,5.9,155.0,71.0,Switch,18,10,0,False
Yohan Banks,c50ea21fe9ef478d,No Nickname,,,,Orthodox,2,1,0,False
Shauna Bannon,9c442aaf149ea982,Mama B,5.5,115.0,65.0,Switch,7,2,0,False
Antonio Banuelos,9ddfb3369a3b0394,No Nickname,5.5,135.0,63.0,Orthodox,20,11,1,False
Iwo Baraniewski,1c23ec2f1b71be40,Rudy,6.0,205.0,73.0,Orthodox,6,0,0,False
