Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Avg Rounds,Avg Fight Time,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
d35c3ed553b71fa2,Joe Vedepo,The Doctor,6.0,185.0,Orthodox,18,9,0,False,1.0,100.5,0.0,5.5,0.5,0.0,43.0,0.55,0.53,0.5,0.0,0.16,0.66,0.0,0.0,0.0,Middleweight,Male,Hybrid
0ff11cc094e887bc,Cain Velasquez,No Nickname,6.1,240.0,Orthodox,14,3,0,False,1.93,444.13,0.53,43.47,1.33,0.27,205.6,0.58,0.52,0.76,0.44,0.37,0.58,0.57,0.27,0.0,Heavyweight,Male,Striker
09c44b317c98bf96,David Velasquez,Little,5.5,145.0,Orthodox,10,10,0,False,2.0,461.0,0.0,20.0,0.0,0.0,0.0,0.54,0.35,0.8,0.71,0.35,0.71,0.67,0.0,0.0,Lightweight,Male,Hybrid
fcce75a25c14a804,Bojan Velickovic,Serbian Steel,6.0,170.0,Southpaw,15,6,1,False,3.0,896.17,0.0,34.0,1.17,0.17,187.83,0.38,0.32,0.52,0.71,0.31,0.56,0.7,0.17,0.5,Welterweight,Male,Striker
d23ccf4a6c221284,Karlos Vemola,No Nickname,6.0,185.0,Orthodox,17,5,0,False,2.17,543.5,0.0,12.0,0.5,1.0,119.0,0.41,0.31,0.8,0.17,0.27,0.64,0.17,1.0,0.0,Middleweight,Male,Wrestler
2f1a257d6777096d,Luigi Vendramini,The Italian Stallion,5.8,155.0,Orthodox,9,3,0,False,1.75,404.25,0.25,19.0,0.5,0.25,94.75,0.41,0.3,0.84,0.75,0.41,0.4,0.49,0.25,0.0,Lightweight,Male,Hybrid
fa315e6c77eee106,Brandon Vera,The Truth,6.3,230.0,Orthodox,15,7,0,False,2.31,615.25,0.44,31.81,0.62,0.12,110.25,0.57,0.41,0.78,0.81,0.46,0.7,0.57,0.12,0.0,Light Heavyweight,Male,Striker
7c7332319c14094c,Marlon Vera,Chito,5.8,135.0,Switch,23,11,1,False,2.88,812.84,0.28,64.92,0.92,0.48,115.6,0.5,0.4,0.64,0.8,0.45,0.62,0.45,0.48,0.04,Bantamweight,Male,Striker
07f959e6596307bb,Carlos Vera,Pequeno,5.6,135.0,Orthodox,12,4,0,False,2.0,548.0,0.5,14.0,0.0,1.0,7.0,0.57,0.34,0.75,0.96,0.54,0.25,0.31,1.0,0.0,Bantamweight,Male,Striker
2b1587a3376ab743,Ernie Verdicia,No Nickname,5.11,199.0,Orthodox,0,1,0,False,1.0,143.0,0.0,2.0,0.0,0.0,235.0,0.4,0.4,0.0,0.0,0.0,0.0,0.67,0.0,0.0,Open Weight,Male,No Clear Style
c6d8ae3b016d5ad5,Joe Veres,No Nickname,5.7,155.0,Orthodox,4,3,0,False,1.5,173.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lightweight,Male,No Clear Style
